"Airline","Origin","Destination","Delay","Month","Year"
"Delta","DEN","LAX",-44,4,2024
"Delta","DEN","LAX",-34,4,2024
"Delta","DEN","LAX",-36,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-28,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",46,4,2024
"Delta","DEN","LAX",-13,4,2024
"Delta","DEN","LAX",-38,4,2024
"Delta","DEN","LAX",-23,4,2024
"United","DEN","LAX",-32,4,2024
"United","DEN","LAX",-31,4,2024
"United","DEN","LAX",-28,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",-25,4,2024
"United","DEN","LAX",-38,4,2024
"United","DEN","LAX",-25,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-9,4,2024
"Delta","DEN","LAX",-36,4,2024
"Delta","DEN","LAX",-34,4,2024
"Delta","DEN","LAX",-28,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-24,4,2024
"United","DEN","LAX",-21,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-8,4,2024
"Delta","DEN","LAX",-18,4,2024
"Delta","DEN","LAX",-23,4,2024
"Delta","DEN","LAX",93,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",7,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",6,4,2024
"United","DEN","LAX",13,4,2024
"United","DEN","LAX",188,4,2024
"Delta","DEN","LAX",-15,4,2024
"Delta","DEN","LAX",-6,4,2024
"Delta","DEN","LAX",-6,4,2024
"United","DEN","LAX",-4,4,2024
"United","DEN","LAX",-1,4,2024
"United","DEN","LAX",1,4,2024
"United","DEN","LAX",-1,4,2024
"United","DEN","LAX",5,4,2024
"United","DEN","LAX",26,4,2024
"United","DEN","LAX",17,4,2024
"United","DEN","LAX",8,4,2024
"United","DEN","LAX",193,4,2024
"Delta","DEN","LAX",-35,4,2024
"Delta","DEN","LAX",-10,4,2024
"Delta","DEN","LAX",-4,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-4,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",5,4,2024
"United","DEN","LAX",3,4,2024
"United","DEN","LAX",7,4,2024
"United","DEN","LAX",53,4,2024
"United","DEN","LAX",127,4,2024
"Delta","DEN","LAX",-37,4,2024
"Delta","DEN","LAX",-16,4,2024
"Delta","DEN","LAX",-15,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-6,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",15,4,2024
"United","DEN","LAX",-6,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",41,4,2024
"United","DEN","LAX",85,4,2024
"Delta","DEN","LAX",-42,4,2024
"Delta","DEN","LAX",-29,4,2024
"Delta","DEN","LAX",-21,4,2024
"United","DEN","LAX",-29,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",-29,4,2024
"United","DEN","LAX",-4,4,2024
"United","DEN","LAX",-21,4,2024
"United","DEN","LAX",-26,4,2024
"United","DEN","LAX",-15,4,2024
"Delta","DEN","LAX",-28,4,2024
"Delta","DEN","LAX",-22,4,2024
"Delta","DEN","LAX",-30,4,2024
"United","DEN","LAX",-28,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-26,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",18,4,2024
"Delta","DEN","LAX",-1,4,2024
"Delta","DEN","LAX",-7,4,2024
"Delta","DEN","LAX",175,4,2024
"United","DEN","LAX",-21,4,2024
"United","DEN","LAX",-12,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",-22,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",-17,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-12,4,2024
"Delta","DEN","LAX",-20,4,2024
"Delta","DEN","LAX",-17,4,2024
"Delta","DEN","LAX",-7,4,2024
"United","DEN","LAX",-27,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-12,4,2024
"United","DEN","LAX",8,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",16,4,2024
"United","DEN","LAX",65,4,2024
"Delta","DEN","LAX",-2,4,2024
"Delta","DEN","LAX",21,4,2024
"Delta","DEN","LAX",15,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",15,4,2024
"United","DEN","LAX",-1,4,2024
"United","DEN","LAX",-17,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",11,4,2024
"United","DEN","LAX",109,4,2024
"United","DEN","LAX",120,4,2024
"Delta","DEN","LAX",1,4,2024
"Delta","DEN","LAX",22,4,2024
"Delta","DEN","LAX",51,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",18,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",3,4,2024
"United","DEN","LAX",12,4,2024
"United","DEN","LAX",31,4,2024
"United","DEN","LAX",37,4,2024
"United","DEN","LAX",52,4,2024
"Delta","DEN","LAX",-7,4,2024
"Delta","DEN","LAX",0,4,2024
"Delta","DEN","LAX",14,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",1,4,2024
"United","DEN","LAX",1,4,2024
"United","DEN","LAX",12,4,2024
"United","DEN","LAX",10,4,2024
"United","DEN","LAX",10,4,2024
"United","DEN","LAX",18,4,2024
"United","DEN","LAX",219,4,2024
"Delta","DEN","LAX",-4,4,2024
"Delta","DEN","LAX",2,4,2024
"Delta","DEN","LAX",-13,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",-21,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",68,4,2024
"Delta","DEN","LAX",-23,4,2024
"Delta","DEN","LAX",-12,4,2024
"Delta","DEN","LAX",-9,4,2024
"United","DEN","LAX",-22,4,2024
"United","DEN","LAX",-23,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-21,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",24,4,2024
"United","DEN","LAX",18,4,2024
"Delta","DEN","LAX",-24,4,2024
"Delta","DEN","LAX",-18,4,2024
"Delta","DEN","LAX",5,4,2024
"United","DEN","LAX",-22,4,2024
"United","DEN","LAX",-14,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",10,4,2024
"United","DEN","LAX",15,4,2024
"United","DEN","LAX",44,4,2024
"Delta","DEN","LAX",-12,4,2024
"Delta","DEN","LAX",9,4,2024
"Delta","DEN","LAX",68,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",66,4,2024
"United","DEN","LAX",23,4,2024
"United","DEN","LAX",11,4,2024
"United","DEN","LAX",1,4,2024
"United","DEN","LAX",18,4,2024
"United","DEN","LAX",33,4,2024
"United","DEN","LAX",77,4,2024
"United","DEN","LAX",58,4,2024
"Delta","DEN","LAX",-15,4,2024
"Delta","DEN","LAX",41,4,2024
"Delta","DEN","LAX",8,4,2024
"United","DEN","LAX",-12,4,2024
"United","DEN","LAX",-17,4,2024
"United","DEN","LAX",-14,4,2024
"United","DEN","LAX",-6,4,2024
"United","DEN","LAX",3,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",37,4,2024
"United","DEN","LAX",73,4,2024
"Delta","DEN","LAX",11,4,2024
"Delta","DEN","LAX",11,4,2024
"Delta","DEN","LAX",-10,4,2024
"United","DEN","LAX",4,4,2024
"United","DEN","LAX",17,4,2024
"United","DEN","LAX",28,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",6,4,2024
"United","DEN","LAX",-2,4,2024
"United","DEN","LAX",39,4,2024
"United","DEN","LAX",5,4,2024
"United","DEN","LAX",67,4,2024
"Delta","DEN","LAX",-14,4,2024
"Delta","DEN","LAX",-16,4,2024
"Delta","DEN","LAX",18,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",9,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-6,4,2024
"United","DEN","LAX",4,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",12,4,2024
"United","DEN","LAX",-1,4,2024
"United","DEN","LAX",10,4,2024
"Delta","DEN","LAX",-20,4,2024
"Delta","DEN","LAX",-18,4,2024
"Delta","DEN","LAX",174,4,2024
"United","DEN","LAX",-27,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",-4,4,2024
"United","DEN","LAX",9,4,2024
"United","DEN","LAX",22,4,2024
"United","DEN","LAX",39,4,2024
"Delta","DEN","LAX",-8,4,2024
"Delta","DEN","LAX",-17,4,2024
"Delta","DEN","LAX",-7,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-1,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",-8,4,2024
"United","DEN","LAX",3,4,2024
"United","DEN","LAX",106,4,2024
"Delta","DEN","LAX",-11,4,2024
"Delta","DEN","LAX",14,4,2024
"Delta","DEN","LAX",-8,4,2024
"United","DEN","LAX",-7,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",-10,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-7,4,2024
"United","DEN","LAX",222,4,2024
"Delta","DEN","LAX",-23,4,2024
"Delta","DEN","LAX",-8,4,2024
"Delta","DEN","LAX",-11,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-15,4,2024
"United","DEN","LAX",5,4,2024
"United","DEN","LAX",26,4,2024
"United","DEN","LAX",140,4,2024
"Delta","DEN","LAX",0,4,2024
"Delta","DEN","LAX",-3,4,2024
"Delta","DEN","LAX",0,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-2,4,2024
"United","DEN","LAX",8,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",-2,4,2024
"United","DEN","LAX",10,4,2024
"Delta","DEN","LAX",-40,4,2024
"Delta","DEN","LAX",-27,4,2024
"Delta","DEN","LAX",-1,4,2024
"United","DEN","LAX",-25,4,2024
"United","DEN","LAX",-18,4,2024
"United","DEN","LAX",-24,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",6,4,2024
"United","DEN","LAX",6,4,2024
"United","DEN","LAX",29,4,2024
"United","DEN","LAX",25,4,2024
"United","DEN","LAX",90,4,2024
"Delta","DEN","LAX",-11,4,2024
"Delta","DEN","LAX",-7,4,2024
"Delta","DEN","LAX",-13,4,2024
"United","DEN","LAX",-25,4,2024
"United","DEN","LAX",-19,4,2024
"United","DEN","LAX",-22,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",-3,4,2024
"United","DEN","LAX",-7,4,2024
"United","DEN","LAX",-3,4,2024
"Delta","DEN","LAX",-17,4,2024
"Delta","DEN","LAX",-4,4,2024
"Delta","DEN","LAX",-6,4,2024
"United","DEN","LAX",-16,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",-20,4,2024
"United","DEN","LAX",-14,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",-14,4,2024
"United","DEN","LAX",-13,4,2024
"United","DEN","LAX",-5,4,2024
"United","DEN","LAX",8,4,2024
"Delta","DEN","LAX",-22,4,2024
"Delta","DEN","LAX",-11,4,2024
"Delta","DEN","LAX",-10,4,2024
"United","DEN","LAX",-17,4,2024
"United","DEN","LAX",-11,4,2024
"United","DEN","LAX",0,4,2024
"United","DEN","LAX",-9,4,2024
"United","DEN","LAX",8,4,2024
"United","DEN","LAX",-4,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",2,4,2024
"United","DEN","LAX",56,4,2024
"Delta","DEN","LAX",-24,8,2024
"Delta","DEN","LAX",-27,8,2024
"Delta","DEN","LAX",-6,8,2024
"United","DEN","LAX",-18,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-12,8,2024
"United","DEN","LAX",-16,8,2024
"United","DEN","LAX",-4,8,2024
"United","DEN","LAX",9,8,2024
"United","DEN","LAX",39,8,2024
"Delta","DEN","LAX",-16,8,2024
"Delta","DEN","LAX",0,8,2024
"Delta","DEN","LAX",33,8,2024
"United","DEN","LAX",-18,8,2024
"United","DEN","LAX",-9,8,2024
"United","DEN","LAX",-14,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",23,8,2024
"United","DEN","LAX",-8,8,2024
"United","DEN","LAX",-5,8,2024
"United","DEN","LAX",87,8,2024
"United","DEN","LAX",119,8,2024
"Delta","DEN","LAX",-22,8,2024
"Delta","DEN","LAX",-27,8,2024
"Delta","DEN","LAX",-23,8,2024
"United","DEN","LAX",-19,8,2024
"United","DEN","LAX",-4,8,2024
"United","DEN","LAX",-14,8,2024
"United","DEN","LAX",-9,8,2024
"United","DEN","LAX",1,8,2024
"United","DEN","LAX",-14,8,2024
"United","DEN","LAX",-7,8,2024
"United","DEN","LAX",35,8,2024
"Delta","DEN","LAX",-10,8,2024
"Delta","DEN","LAX",23,8,2024
"Delta","DEN","LAX",13,8,2024
"United","DEN","LAX",-10,8,2024
"United","DEN","LAX",4,8,2024
"United","DEN","LAX",-5,8,2024
"United","DEN","LAX",26,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",12,8,2024
"United","DEN","LAX",29,8,2024
"United","DEN","LAX",36,8,2024
"United","DEN","LAX",836,8,2024
"Delta","DEN","LAX",1,8,2024
"Delta","DEN","LAX",23,8,2024
"Delta","DEN","LAX",78,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",4,8,2024
"United","DEN","LAX",-8,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",36,8,2024
"United","DEN","LAX",33,8,2024
"United","DEN","LAX",43,8,2024
"United","DEN","LAX",72,8,2024
"United","DEN","LAX",132,8,2024
"Delta","DEN","LAX",3,8,2024
"Delta","DEN","LAX",13,8,2024
"Delta","DEN","LAX",47,8,2024
"United","DEN","LAX",-10,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-3,8,2024
"United","DEN","LAX",11,8,2024
"United","DEN","LAX",11,8,2024
"United","DEN","LAX",52,8,2024
"United","DEN","LAX",114,8,2024
"United","DEN","LAX",199,8,2024
"United","DEN","LAX",250,8,2024
"Delta","DEN","LAX",-9,8,2024
"Delta","DEN","LAX",24,8,2024
"Delta","DEN","LAX",409,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",-9,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-11,8,2024
"United","DEN","LAX",17,8,2024
"United","DEN","LAX",22,8,2024
"United","DEN","LAX",25,8,2024
"United","DEN","LAX",99,8,2024
"United","DEN","LAX",100,8,2024
"Delta","DEN","LAX",-15,8,2024
"Delta","DEN","LAX",-18,8,2024
"Delta","DEN","LAX",19,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-18,8,2024
"United","DEN","LAX",-12,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",43,8,2024
"United","DEN","LAX",59,8,2024
"United","DEN","LAX",66,8,2024
"United","DEN","LAX",226,8,2024
"Delta","DEN","LAX",3,8,2024
"Delta","DEN","LAX",-8,8,2024
"Delta","DEN","LAX",34,8,2024
"United","DEN","LAX",-9,8,2024
"United","DEN","LAX",-15,8,2024
"United","DEN","LAX",-14,8,2024
"United","DEN","LAX",-5,8,2024
"United","DEN","LAX",-15,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",3,8,2024
"United","DEN","LAX",8,8,2024
"United","DEN","LAX",29,8,2024
"Delta","DEN","LAX",-23,8,2024
"Delta","DEN","LAX",-15,8,2024
"Delta","DEN","LAX",-17,8,2024
"United","DEN","LAX",-20,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-16,8,2024
"United","DEN","LAX",-7,8,2024
"United","DEN","LAX",-4,8,2024
"United","DEN","LAX",5,8,2024
"United","DEN","LAX",83,8,2024
"United","DEN","LAX",101,8,2024
"Delta","DEN","LAX",-21,8,2024
"Delta","DEN","LAX",-1,8,2024
"Delta","DEN","LAX",3,8,2024
"United","DEN","LAX",-21,8,2024
"United","DEN","LAX",-11,8,2024
"United","DEN","LAX",-7,8,2024
"United","DEN","LAX",4,8,2024
"United","DEN","LAX",-10,8,2024
"United","DEN","LAX",-3,8,2024
"United","DEN","LAX",0,8,2024
"United","DEN","LAX",-6,8,2024
"Delta","DEN","LAX",-19,8,2024
"Delta","DEN","LAX",-16,8,2024
"Delta","DEN","LAX",93,8,2024
"United","DEN","LAX",-18,8,2024
"United","DEN","LAX",-15,8,2024
"United","DEN","LAX",-12,8,2024
"United","DEN","LAX",-10,8,2024
"United","DEN","LAX",9,8,2024
"United","DEN","LAX",2,8,2024
"United","DEN","LAX",76,8,2024
"United","DEN","LAX",134,8,2024
"United","DEN","LAX",246,8,2024
"Delta","DEN","LAX",-21,8,2024
"Delta","DEN","LAX",-3,8,2024
"Delta","DEN","LAX",128,8,2024
"United","DEN","LAX",-12,8,2024
"United","DEN","LAX",-10,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",12,8,2024
"United","DEN","LAX",0,8,2024
"United","DEN","LAX",9,8,2024
"United","DEN","LAX",8,8,2024
"United","DEN","LAX",72,8,2024
"Delta","DEN","LAX",-24,8,2024
"Delta","DEN","LAX",-18,8,2024
"Delta","DEN","LAX",33,8,2024
"United","DEN","LAX",-19,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-12,8,2024
"United","DEN","LAX",3,8,2024
"United","DEN","LAX",42,8,2024
"United","DEN","LAX",62,8,2024
"United","DEN","LAX",197,8,2024
"Delta","DEN","LAX",17,8,2024
"Delta","DEN","LAX",-9,8,2024
"Delta","DEN","LAX",20,8,2024
"United","DEN","LAX",-16,8,2024
"United","DEN","LAX",-7,8,2024
"United","DEN","LAX",23,8,2024
"United","DEN","LAX",-17,8,2024
"United","DEN","LAX",-5,8,2024
"United","DEN","LAX",2,8,2024
"United","DEN","LAX",-4,8,2024
"United","DEN","LAX",-7,8,2024
"Delta","DEN","LAX",-12,8,2024
"Delta","DEN","LAX",-16,8,2024
"Delta","DEN","LAX",48,8,2024
"United","DEN","LAX",-15,8,2024
"United","DEN","LAX",-11,8,2024
"United","DEN","LAX",-16,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",25,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",-3,8,2024
"United","DEN","LAX",5,8,2024
"United","DEN","LAX",121,8,2024
"Delta","DEN","LAX",-20,8,2024
"Delta","DEN","LAX",-18,8,2024
"Delta","DEN","LAX",13,8,2024
"United","DEN","LAX",-20,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-7,8,2024
"United","DEN","LAX",-8,8,2024
"United","DEN","LAX",-1,8,2024
"United","DEN","LAX",1,8,2024
"United","DEN","LAX",12,8,2024
"United","DEN","LAX",38,8,2024
"Delta","DEN","LAX",-9,8,2024
"Delta","DEN","LAX",12,8,2024
"Delta","DEN","LAX",29,8,2024
"United","DEN","LAX",-13,8,2024
"United","DEN","LAX",-5,8,2024
"United","DEN","LAX",-8,8,2024
"United","DEN","LAX",-3,8,2024
"United","DEN","LAX",2,8,2024
"United","DEN","LAX",4,8,2024
"United","DEN","LAX",2,8,2024
"United","DEN","LAX",12,8,2024
"United","DEN","LAX",42,8,2024
"United","DEN","LAX",67,8,2024
"Delta","DEN","LAX",-18,8,2024
"Delta","DEN","LAX",-13,8,2024
"Delta","DEN","LAX",216,8,2024
"United","DEN","LAX",-9,8,2024
"United","DEN","LAX",-16,8,2024
"United","DEN","LAX",-6,8,2024
"United","DEN","LAX",-2,8,2024
"United","DEN","LAX",2,8,2024
"United","DEN","LAX",30,8,2024
