"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"'71","2015","Action & Adventure","PG-13",99,96,81,15
"10 Cloverfield Lane","2016","Drama","PG-13",103,90,79,11
"10,000 B.C.","2008","Action & Adventure","PG-13",109,8,37,-29
"12 Strong","2018","Action & Adventure","R",130,50,62,-12
"12 Years a Slave","2013","Drama","R",134,95,90,5
"127 Hours","2010","Drama","R",93,93,85,8
"13 Assassins","2011","Action & Adventure","R",126,95,88,7
"13 Going on 30","2004","Comedy","PG-13",97,65,70,-5
"13 Hours: The Secret Soldiers Of Benghazi","2016","Action & Adventure","R",144,51,82,-31
"1408","2007","Horror","PG-13",94,80,61,19
"15 Minutes","2001","Action & Adventure","R",120,32,37,-5
"16 Blocks","2006","Action & Adventure","PG-13",102,56,57,-1
"17 Again","2009","Comedy","PG-13",102,56,67,-11
"1917","2020","Drama","R",119,89,88,1
"2 Days in New York","2012","Comedy","R",95,66,42,24
"2 Fast 2 Furious","2003","Action & Adventure","PG-13",108,36,50,-14
"2 Guns","2013","Action & Adventure","R",109,64,66,-2
"20 Feet From Stardom","2013","Documentary","PG-13",90,99,82,17
"2012","2009","Action & Adventure","PG-13",158,39,47,-8
"20th Century Women","2017","Comedy","R",118,88,74,14
"21","2008","Drama","PG-13",122,35,66,-31
"21 And Over","2013","Comedy","R",93,27,46,-19
"21 Grams","2003","Drama","R",125,80,86,-6
"21 Jump Street","2012","Action & Adventure","R",110,84,82,2
"22 July","2018","Drama","R",143,80,70,10
"22 Jump Street","2014","Action & Adventure","R",112,85,77,8
"25th Hour","2003","Drama","R",134,78,85,-7
"27 Dresses","2008","Comedy","PG-13",107,41,57,-16
"28 Days Later","2003","Horror","R",112,87,85,2
"28 Weeks Later...","2007","Horror","R",100,71,66,5
"30 Days of Night","2007","Horror","R",113,51,56,-5
"30 Minutes or Less","2011","Action & Adventure","R",83,45,40,5
"300","2007","Action & Adventure","R",117,61,89,-28
"300: Rise of an Empire","2014","Action & Adventure","R",103,45,51,-6
"4 Months, 3 Weeks and 2 Days","2007","Drama","R",113,96,86,10
"40 Days and 40 Nights","2002","Comedy","R",94,39,43,-4
"42","2013","Drama","PG-13",128,80,85,-5
"45 Years","2015","Drama","R",93,97,67,30
"50 First Dates","2004","Comedy","PG-13",96,45,65,-20
"50/50","2011","Comedy","R",99,93,88,5
"500 Days of Summer","2009","Comedy","PG-13",95,85,84,1
"7 Days in Entebbe","2018","Drama","PG-13",107,24,37,-13
"8 Mile","2002","Drama","R",110,75,54,21
"88 Minutes","2008","Drama","R",107,5,44,-39
"9","2009","Action & Adventure","PG-13",79,57,56,1
"99 Homes","2015","Drama","R",110,93,78,15
"A Bad Moms Christmas","2017","Comedy","R",104,32,44,-12
"A Beautiful Mind","2001","Drama","PG-13",135,74,93,-19
"A Better Life","2011","Drama","PG-13",98,85,79,6
"A Cinderella Story","2004","Comedy","PG",95,12,53,-41
"A Dangerous Method","2011","Drama","R",99,78,50,28
"A Dirty Shame","2004","Comedy","NC17",89,53,51,2
"A Dog's Purpose","2017","Comedy","PG",120,35,73,-38
"A Ghost Story","2017","Drama","R",90,91,66,25
"A Girl Walks Home Alone at Night","2014","Horror","NR",105,96,75,21
"A Good Day To Die Hard","2013","Action & Adventure","R",98,14,40,-26
"A Good Year","2006","Comedy","PG-13",118,25,65,-40
"A Guy Thing","2003","Comedy","PG-13",101,24,35,-11
"A History of Violence","2005","Action & Adventure","R",96,87,76,11
"A Hologram for the King","2016","Drama","R",97,71,55,16
"A Home at the End of the World","2004","Drama","R",93,50,67,-17
"A Knight's Tale","2001","Action & Adventure","PG-13",132,59,79,-20
"A Late Quartet","2012","Drama","R",105,76,71,5
"A Lot Like Love","2005","Comedy","PG-13",107,41,77,-36
"A Man Apart","2003","Action & Adventure","R",109,11,62,-51
"A Mighty Heart","2007","Drama","R",103,79,70,9
"A Mighty Wind","2003","Comedy","PG-13",90,87,75,12
"A Million Ways to Die in the West","2014","Comedy","R",115,33,41,-8
"A Monster Calls","2017","Comedy","PG-13",108,86,81,5
"A Most Violent Year","2015","Action & Adventure","R",124,89,69,20
"A Most Wanted Man","2014","Drama","R",121,87,65,22
"A Perfect Getaway","2009","Action & Adventure","R",97,62,52,10
"A Prairie Home Companion","2006","Comedy","PG-13",105,82,59,23
"A Private War","2018","Drama","R",110,88,64,24
"A Quiet Passion","2017","Drama","PG-13",125,91,48,43
"A Quiet Place","2018","Drama","PG-13",90,96,83,13
"A Scanner Darkly","2006","Action & Adventure","R",100,68,74,-6
"A Serious Man","2009","Comedy","R",105,90,68,22
"A Single Man","2009","Drama","R",99,85,81,4
"A United Kingdom","2017","Drama","NR",111,84,76,8
"A Very Harold & Kumar Christmas","2011","Comedy","R",90,68,59,9
"A Walk Among the Tombstones","2014","Action & Adventure","R",114,68,53,15
"A Walk In The Woods","2015","Action & Adventure","R",104,47,48,-1
"A Walk to Remember","2002","Drama","PG",101,27,78,-51
"A Wrinkle in Time","2018","Action & Adventure","PG",109,42,26,16
"A.I. Artificial Intelligence","2001","Drama","PG-13",145,74,64,10
"AVP - Alien Vs. Predator","2004","Action & Adventure","PG-13",100,21,39,-18
"Abandon","2002","Drama","PG-13",99,16,31,-15
"Abduction","2011","Action & Adventure","PG-13",106,5,42,-37
"About Schmidt","2002","Comedy","R",124,85,74,11
"About Time","2013","Comedy","R",124,68,81,-13
"About a Boy","2002","Comedy","PG-13",100,93,55,38
"Abraham Lincoln: Vampire Hunter","2012","Action & Adventure","R",105,34,50,-16
"Absolutely Fabulous: The Movie","2016","Comedy","R",86,58,41,17
"Accepted","2006","Comedy","PG-13",93,37,72,-35
"Act of Valor","2012","Action & Adventure","R",109,27,72,-45
"Adam","2009","Drama","PG-13",97,66,72,-6
"Adam Sandler's Eight Crazy Nights","2002","Animation","PG-13",76,12,49,-37
"Adaptation","2002","Comedy","R",114,91,85,6
"Admission","2013","Comedy","PG-13",117,38,32,6
"Adventureland","2009","Comedy","R",106,88,61,27
"Aeon Flux","2005","Action & Adventure","PG-13",95,9,39,-30
"After Earth","2013","Action & Adventure","PG-13",99,11,36,-25
"After the Sunset","2004","Action & Adventure","PG-13",97,18,52,-34
"After the Wedding","2019","Drama","PG-13",112,45,76,-31
"Against the Ropes","2004","Drama","PG-13",111,12,29,-17
"Agent Cody Banks","2003","Action & Adventure","PG",102,38,32,6
"Ain't Them Bodies Saints","2013","Drama","R",95,77,61,16
"Akeelah and the Bee","2006","Drama","PG",112,85,81,4
"Aladdin","2019","Action & Adventure","PG",128,57,94,-37
"Albert Nobbs","2012","Drama","R",113,56,47,9
"Alex & Emma","2003","Comedy","PG-13",96,11,41,-30
"Alex Cross","2012","Action & Adventure","PG-13",101,11,47,-36
"Alexander","2004","Action & Adventure","R",175,16,35,-19
"Ali","2001","Drama","R",158,68,65,3
"Alice Through the Looking Glass","2016","Action & Adventure","PG",113,29,48,-19
"Alien: Covenant","2017","Action & Adventure","R",122,65,55,10
"Alita: Battle Angel","2019","Action & Adventure","PG-13",122,61,92,-31
"All About Steve","2009","Comedy","PG-13",99,6,30,-24
"All Is Lost","2013","Action & Adventure","PG-13",105,94,63,31
"All The King's Men","2006","Drama","PG-13",128,11,40,-29
"All the Money in the World","2017","Drama","R",132,79,65,14
"Allied","2016","Action & Adventure","R",119,60,63,-3
"Almost Famous","2000","Comedy","R",122,89,92,-3
"Aloha","2015","Action & Adventure","PG-13",105,20,28,-8
"Alone in the Dark","2005","Action & Adventure","R",98,1,11,-10
"Along Came Polly","2004","Comedy","PG-13",90,27,47,-20
"Along Came a Spider","2001","Drama","R",104,32,53,-21
"Alpha","2018","Action & Adventure","PG-13",97,80,70,10
"Alpha Dog","2007","Drama","R",118,54,67,-13
"Alvin and the Chipmunks","2007","Animation","PG",91,28,64,-36
"Amazing Grace","2007","Drama","PG",116,67,85,-18
"Amelia","2009","Drama","PG",111,20,31,-11
"America's Sweethearts","2001","Comedy","PG-13",102,32,40,-8
"American Animals","2018","Comedy","R",116,88,81,7
"American Assassin","2017","Action & Adventure","R",111,34,60,-26
"American Dreamz","2006","Comedy","PG-13",107,38,31,7
"American Gangster","2007","Drama","R",157,80,87,-7
"American Honey","2016","Drama","R",162,79,63,16
"American Hustle","2013","Drama","R",138,92,74,18
"American Made","2017","Action & Adventure","R",115,86,78,8
"American Outlaws","2001","Action & Adventure","PG-13",93,14,68,-54
"American Pastoral","2016","Drama","R",108,23,30,-7
"American Pie 2","2001","Comedy","R",105,52,68,-16
"American Psycho","2000","Comedy","R",103,69,85,-16
"American Reunion","2012","Comedy","R",112,45,63,-18
"American Sniper","2015","Action & Adventure","R",132,72,84,-12
"American Teen","2008","Documentary","PG-13",100,70,59,11
"American Ultra","2015","Action & Adventure","R",96,43,45,-2
"American Wedding","2003","Comedy","R",97,54,63,-9
"An Inconvenient Sequel: Truth To Power","2017","Documentary","PG",100,79,50,29
"An Inconvenient Truth","2006","Documentary","PG",95,93,79,14
"An Unfinished Life","2005","Drama","PG-13",107,52,67,-15
"Anacondas: The Hunt for the Blood Orchid","2004","Action & Adventure","PG-13",96,26,27,-1
"Analyze That","2002","Comedy","R",95,27,39,-12
"Anchorman - The Legend Of Ron Burgundy","2004","Comedy","PG-13",95,67,86,-19
"Anchorman 2: The Legend Continues","2013","Comedy","PG-13",119,74,52,22
"Angel Eyes","2001","Drama","R",104,33,46,-13
"Angel Has Fallen","2019","Action & Adventure","R",121,39,93,-54
"Angels & Demons","2009","Drama","PG-13",138,37,57,-20
"Anger Management","2003","Comedy","PG-13",106,42,60,-18
"Anna and the Apocalypse","2018","Comedy","R",92,77,61,16
"Annabelle","2014","Horror","R",98,29,36,-7
"Annabelle Comes Home","2019","Horror","R",106,64,70,-6
"Annabelle: Creation","2017","Drama","R",109,71,67,4
"Annapolis","2006","Drama","PG-13",98,10,60,-50
"Annihilation","2018","Action & Adventure","R",115,88,66,22
"Anomalisa","2015","Animation","R",90,92,71,21
"Another Earth","2011","Drama","PG-13",92,66,66,0
"Another Year","2010","Comedy","PG-13",129,93,74,19
