"Diameter","Height","Pine"
6.9,45,1
8.4,37,1
9.4,35,1
25.5,66,1
13.9,47,1
9.3,29,1
5.4,22,1
5.6,21,1
12.1,40,1
12.9,57,1
13.4,37,1
8.9,25,1
11.4,46,1
7.7,39,1
9,40,1
8.5,36,1
14.4,43,1
8.9,39,1
9.6,35,1
6.9,26,1
6.1,36,1
6.7,40,1
14,54,1
8.3,43,1
9.3,43,1
9.7,34,1
12.4,60,1
13.9,47,1
13.5,48,1
21,57,1
11.2,46,1
15.9,52,1
14.8,46,1
12.7,52,1
5.4,24,1
9.9,29,1
5.5,28,1
7.7,35,1
6,25,1
6.2,26,1
23.8,70,1
15.6,37,1
5.5,39,1
13.6,37,1
10.5,40,1
8.3,40,1
6.7,20,1
8.7,36,1
10.7,53,1
10.9,41,1
10.5,34,1
17.4,49,1
7,42,1
13.8,57,1
13.7,37,1
9.7,46,1
8.5,31,1
13.7,59,1
10.6,31,1
15.1,52,1
6.2,32,1
5.7,25,1
22.2,51,1
12.3,40,1
8.8,33,1
10.4,47,1
14.9,60,1
14.7,41,1
6.1,30,1
16.4,39,1
10,44,1
15.6,53,1
20.6,57,1
10,34,1
12.4,63,1
11,54,1
8.6,22,1
13.3,50,1
9.8,34,1
9.5,33,1
18,46,1
12.6,46,1
12.2,39,1
11.2,46,1
14.7,47,1
11.6,52,1
12.1,38,1
11.9,46,1
10.8,44,1
8.7,22,1
9.1,29,1
9.2,42,1
9.1,43,1
6.3,22,1
8.1,46,1
10.2,38,1
8.6,23,1
12.2,39,1
9.3,38,1
5.9,28,1
11,48,0
9.6,32,0
6.8,18,0
9.4,40,0
13.2,48,0
21.5,83,0
17.8,78,0
6.2,54,0
5.9,22,0
5,40,0
18,74,0
6.3,29,0
8.2,31,0
6,34,0
11.6,43,0
5.8,21,0
8.6,24,0
6.2,23,0
6.1,20,0
8,33,0
10,40,0
10.5,27,0
15.1,48,0
8.4,36,0
7.4,34,0
8.2,27,0
8,26,0
6.5,38,0
15.9,60,0
6.5,30,0
6.7,28,0
5.6,21,0
12.4,53,0
7.3,19,0
7.8,41,0
5.3,21,0
9.5,42,0
6.8,31,0
6.7,28,0
8.4,31,0
12.1,64,0
7.6,30,0
12.3,51,0
9.8,37,0
8.8,44,0
11.4,41,0
7.3,29,0
13.2,39,0
6.3,34,0
9,54,0
6.9,26,0
15.4,77,0
22,94,0
9.1,26,0
10.5,31,0
13.3,38,0
17.3,72,0
12.5,45,0
10.8,50,0
11.2,75,0
9.5,32,0
13.3,43,0
6,24,0
15,55,0
12.9,45,0
10,31,0
6.4,19,0
10.9,47,0
18.9,76,0
17.4,64,0
7.4,30,0
15,59,0
6.8,26,0
11.5,58,0
14,48,0
15.9,35,0
6,32,0
9.8,32,0
6.7,23,0
5.3,33,0
5.9,33,0
8.9,37,0
7.6,30,0
12.1,57,0
6.2,22,0
9.8,41,0
6.8,24,0
6.8,23,0
20.6,54,0
5.6,21,0
6.4,34,0
8.7,33,0
6.5,28,0
15,60,0
11.5,46,0
6.6,21,0
11.2,53,0
6.5,25,0
9.1,27,0
10.1,45,0
