"Common Name","Region","Nest Type","Wingspan (cm)"
"Abbott's Booby","oceania","platform",190
"Altamira Oriole","americas","wild",37
"Amazon Kingfisher","americas","wild",51
"Amazonian Parrotlet","americas","cavity",25
"American Flamingo","americas","ground",153
"American Golden-Plover","americas","ground",66
"Andean Cock-of-the-Rock","americas","wild",62
"Andean Condor","americas","ground",260
"Antioquia Brushfinch","americas","bowl",27
"Asian Emerald Dove","asia","platform",44
"Asian Koel","asia","none",62
"Audouin's Gull","european","ground",132
"Australasian Pipit","oceania","ground",31
"Australasian Shoveler","oceania","ground",75
"Australian Ibis","oceania","platform",118
"Australian Magpie","oceania","platform",75
"Australian Owlet-Nightjar","oceania","cavity",28
"Australian Raven","oceania","platform",100
"Australian Reed Warbler","oceania","bowl",21
"Australian Shelduck","oceania","cavity",113
"Australian Zebra Finch","oceania","wild",22
"Azure Tit","asia","cavity",22
"Bananaquit","americas","bowl",19
"Barred Antshrike","americas","bowl",26
"Bat Falcon","americas","cavity",55
"Baya Weaver","asia","wild",27
"Bearded Reedling","asia","bowl",17
"Black Drongo","asia","bowl",27
"Black Noddy","oceania","platform",69
"Black Rail","americas","ground",25
"Black Redstart","european","wild",24
"Black Stork","asia","platform",155
"Black Swan","oceania","ground",180
"Black Woodpecker","european","cavity",70
"Black-Headed Gull","european","ground",102
"Black-Naped Oriole","asia","bowl",50
"Black-Shouldered Kite","oceania","platform",87
"Black-Tailed Godwit","european","ground",76
"Black-Throated Diver","european","ground",120
"Blue Rock-Thrush","asia","cavity",35
"Blue-and-Yellow Macaw","americas","cavity",109
"Blue-Black Grassquit","americas","bowl",15
"Blue-Footed Booby","americas","ground",152
"Blue-Grey Tanager","americas","bowl",25
"Blue-Headed Parrot","americas","cavity",56
"Bluethroat","european","ground",22
"Blyth's Hornbill","oceania","cavity",150
"Boat-Billed Heron","americas","platform",76
"Bonelli's Eagle","european","platform",160
"Brahminy Kite","asia","platform",125
"Brambling","asia","bowl",26
"Brazilian Merganser","americas","cavity",90
"Brazilian Teal","americas","ground",62
"Brolga","oceania","ground",215
"Brown Falcon","oceania","platform",102
"Brown Shrike","asia","bowl",24
"Budgerigar","oceania","cavity",30
"Bullfinch","european","bowl",24
"Carrion Crow","european","platform",92
"Cetti's Warbler","european","bowl",17
"Chiloé Wigeon","americas","ground",81
"Clay-Colored Thrush","americas","bowl",37
"Coal Tit","european","cavity",16
"Cockatiel","oceania","cavity",32
"Cocoi Heron","americas","platform",180
"Common Blackbird","european","bowl",36
"Common Buzzard","european","platform",123
"Common Chaffinch","european","bowl",23
"Common Chiffchaff","european","ground",20
"Common Cuckoo","european","none",57
"Common Goldeneye","european","cavity",73
"Common Green Magpie","asia","bowl",62
"Common Iora","asia","bowl",21
"Common Kingfisher","european","wild",26
"Common Little Bittern","european","platform",49
"Common Moorhen","european","wild",53
"Common Myna","asia","cavity",35
"Common Nightingale","european","bowl",23
"Common Pauraque","americas","ground",56
"Common Sandpiper","asia","ground",40
"Common Starling","european","cavity",38
"Common Swift","european","cavity",46
"Common Tailorbird","asia","wild",13
"Common Teal","asia","ground",61
"Coppersmith Barbet","asia","cavity",23
"Correndera Pipit","americas","ground",25
"Corsican Nuthatch","european","cavity",21
"Count Raggi's Bird-of-Paradise","oceania","bowl",55
"Crested Ibis","asia","platform",140
"Crested Lark","asia","ground",34
"Crested Oropendola","americas","wild",50
"Crested Pigeon","oceania","platform",45
"Crimson Chat","oceania","bowl",19
"Desert Finch","asia","bowl",26
"Desert Wheatear","asia","ground",27
"Dunnock","european","bowl",20
"Eastern Imperial Eagle","european","platform",200
"Eastern Rosella","oceania","cavity",48
"Eastern Whipbird","oceania","bowl",30
"Elegant Trogon","americas","cavity",41
"Eleonora's Falcon","european","ground",95
"Eurasian Collared-Dove","european","platform",52
"Eurasian Coot","asia","ground",75
"Eurasian Eagle-Owl","asia","platform",174
"Eurasian Golden Oriole","european","wild",46
"Eurasian Green Woodpecker","european","cavity",48
"Eurasian Hobby","european","platform",75
"Eurasian Hoopoe","asia","cavity",46
"Eurasian Jay","european","bowl",56
"Eurasian Kestrel","asia","cavity",68
"Eurasian Magpie","european","platform",56
